UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
Спасский мост;Спасский мост;93045;Spasskij most;11;;"0902;0903;0908";;58485149
Старорублёвский мост;Старорублёвский мост;93046;Starorublyovskij most;11;;815;;58485150
Таможенный мост;Таможенный мост;93047;Tamozhenny'j most;11;;"0507;0102";;58485151
Третьяковский мост;Третьяковский мост;93048;Tret`yakovskij most;11;;110;;58485152
Восточный Тушинский мост;Вост. Тушинский мост;93049;Vostochny'j Tushinskij most;11;;"0903;0908";;58485153
Западный Тушинский мост;Зап. Тушинский мост;93050;Zapadny'j Tushinskij most;11;;"0903;0908";;58485154
Большой Устьинский мост;Б. Устьинский мост;93051;Bol`shoj Ust`inskij most;11;;"0107;0103";;58485155
Малый Устьинский мост;М. Устьинский мост;93052;Maly'j Ust`inskij most;11;;107;;58485156
Химкинский мост;Химкинский мост;93053;Ximkinskij most;11;;"0211;0904";;58485157
Хорошёвский мост;Хорошёвский мост;93054;Xoroshyovskij most;11;;906;;58485158
Чугунный мост;Чугунный мост;93055;Chugunny'j most;11;;"0110;0103";;58485159
Шелепихинский мост;Шелепихинский мост;93056;Shelepixinskij most;11;;"0818;0106";;58485160
1-й Шлюзовой мост;1-й Шлюзовой мост;93057;Pervy'j Shlyuzovoj most;11;;103;;58485161
2-й Шлюзовой мост;2-й Шлюзовой мост;93058;Vtoroj Shlyuzovoj most;11;;103;;58485162
Электрозаводский мост;Электрозаводский мост;93059;E'lektrozavodskij most;11;;"0415;0418;0417";;58485164
мост Яузская плотина;мост Яузская плотина;93069;most Yauzskaya Plotina;11;;313;;58485165
улица Егора Абакумова;ул. Егора Абакумова;10;ulicza Egora Abakumova;1;;317;7,70000000000705E+016;58485166
Абельмановская улица;Абельмановская ул.;20;Abel`manovskaya ulicza;1;;107;7,70000000000707E+016;58485167
площадь Абельмановская Застава;пл. Абельмановская Застава;30;ploshhad` Abel`manovskaya Zastava;4;;107;7,70000000000706E+016;58485168
Абрамцевская улица;Абрамцевская ул.;40;Abramczevskaya ulicza;1;;306;7,70000000000708E+016;58485169
Абрамцевская просека;Абрамцевская просека;45;Abramczevskaya proseka;14;;410;7,70000000003514E+016;58485170
Филипповский переулок;Филипповский пер.;47;Filippovskij pereulok;2;;101;7,70000000007006E+016;58485171
Абрикосовский переулок;Абрикосовский пер.;50;Abrikosovskij pereulok;2;;109;7,70000000000709E+016;58485172
Авангардная улица;Авангардная ул.;60;Avangardnaya ulicza;1;;207;7,7000000000071E+016;58485173
Авиамоторная улица;Авиамоторная ул.;70;Aviamotornaya ulicza;1;;507;7,70000000000241E+016;58485174
Авиамоторный проезд;Авиамоторный пр.;75;Aviamotorny'j proezd;3;;507;7,70000000003424E+016;58485175
Авиационная улица;Авиационная ул.;80;Aviaczionnaya ulicza;1;;907;7,70000000000712E+016;58485176
улица Авиаторов;ул. Авиаторов;85;ulicza Aviatorov;1;;816;7,70000000000711E+016;58485177
Авиационный переулок;Авиационный пер.;90;Aviaczionny'j pereulok;2;;201;7,70000000000713E+016;58485178
Автозаводская площадь;Автозаводская пл.;110;Avtozavodskaya ploshhad`;4;;609;7,70000000003515E+016;58485179
Автозаводская улица;Автозаводская ул.;120;Avtozavodskaya ulicza;1;;609;7,70000000000714E+016;58485180
1-й Автозаводский проезд;1-й Автозаводский пр.;130;Pervy'j Avtozavodskij proezd;3;;609;7,70000000000715E+016;58485181
2-й Автозаводский проезд;2-й Автозаводский пр.;140;Vtoroj Avtozavodskij proezd;3;;609;7,70000000000716E+016;58485182
3-й Автозаводский проезд;3-й Автозаводский пр.;150;Tretij Avtozavodskij proezd;3;;609;7,70000000000717E+016;58485183
Автомобильный проезд;Автомобильный пр.;160;Avtomobil`ny'j proezd;3;;510;7,70000000000261E+016;58485184
Автомоторная улица;Автомоторная ул.;170;Avtomotornaya ulicza;1;;207;7,70000000000358E+016;58485185
Азовская улица;Азовская ул.;190;Azovskaya ulicza;1;;703;7,7000000000072E+016;58485186
улица Айвазовского;ул. Айвазовского;195;ulicza Ajvazovskogo;1;;712;7,70000000000721E+016;58485187
Большая Академическая улица;Б. Академическая ул.;200;Bol`shaya Akademicheskaya ulicza;1;;"0205;0210;0215";7,70000000000723E+016;58485188
Академический проезд;Академический пр.;210;Akademicheskij proezd;3;;215;7,70000000003516E+016;58485189
улица Алабяна;ул. Алабяна;240;ulicza Alabyana;1;;214;7,70000000000725E+016;58485190
проспект Генерала Алексеева;просп. Генерала Алексеева;245;prospekt Generala Alekseeva;10;;"1009;1011";7,70000020004569E+016;58485191
улица Петра Алексеева;ул. Петра Алексеева;250;ulicza Petra Alekseeva;1;;809;7,7000000000324E+016;58485192
1-й переулок Петра Алексеева;1-й пер. Петра Алексеева;260;Pervy'j pereulok Petra Alekseeva;2;;809;7,70000000003238E+016;58485194
2-й переулок Петра Алексеева;2-й пер. Петра Алексеева;261;Vtoroj pereulok Petra Alekseeva;2;;809;7,70000000003239E+016;58485196
улица Академика Александрова;ул. Академика Александрова;265;ulicza Akademika Aleksandrova;1;;907;7,70000000007443E+016;58485197
Алексинская улица;Алексинская ул.;295;Aleksinskaya ulicza;1;;711;7,70000000000729E+016;58485198
Алёшкинский проезд;Алёшкинский пр.;300;Alyoshkinskij proezd;3;;904;7,70000000003517E+016;58485199
Алма-Атинская улица;Алма-Атинская ул.;305;Alma-Atinskaya ulicza;1;;608;7,70000000000466E+016;58485200
Алтайская улица;Алтайская ул.;310;Altajskaya ulicza;1;;406;7,70000000000732E+016;58485201
Алтуфьевское шоссе;Алтуфьевское ш.;330;Altuf`evskoe shosse;6;;"0302;0304;0306;0311";7,70000000000733E+016;58485202
