проезд Комсомольской Площади;пр. Комсомольской Площади;proezd Komsomol`skoj Ploshhadi;;;
Комсомольский проспект;Комсомольский просп.;Komsomol`skij prospekt;;;
Конаковский проезд;Конаковский пр.;Konakovskij proezd;;;
Большой Кондратьевский переулок;Б. Кондратьевский пер.;Bol`shoj Kondrat`evskij pereulok;;;
Средний Кондратьевский переулок;Ср. Кондратьевский пер.;Srednij Kondrat`evskij pereulok;;;
улица Кондратюка;ул. Кондратюка;ulicza Kondratyuka;;;
Кондрашёвский тупик;Кондрашёвский туп.;Kondrashyovskij tupik;;;
улица Маршала Конева;ул. Маршала Конева;ulicza Marshala Koneva;;;
улица Конёнкова;ул. Конёнкова;ulicza Konyonkova;;;
Конный переулок;Конный пер.;Konny'j pereulok;;;
улица Коновалова;ул. Коновалова;ulicza Konovalova;;;
улица Константинова;ул. Константинова;ulicza Konstantinova;;;
Конюшковская улица;Конюшковская ул.;Konyushkovskaya ulicza;;;
Большой Конюшковский переулок;Б. Конюшковский пер.;Bol`shoj Konyushkovskij pereulok;;;
Малый Конюшковский переулок;М. Конюшковский пер.;Maly'j Konyushkovskij pereulok;;;
Кооперативная улица;Кооперативная ул.;Kooperativnaya ulicza;;;
улица Николая Коперника;ул. Николая Коперника;ulicza Nikolaya Kopernika;;;
Коптевская улица;Коптевская ул.;Koptevskaya ulicza;;;
Коптевский бульвар;Коптевский бульв.;Koptevskij bul`var;;;
Большой Коптевский проезд;Б. Коптевский пр.;Bol`shoj Koptevskij proezd;;;
Малый Коптевский проезд;М. Коптевский пр.;Maly'j Koptevskij proezd;;;
2-й Коптельский переулок;2-й Коптельский пер.;Vtoroj Koptel`skij pereulok;;;
1-й Коптельский переулок;1-й Коптельский пер.;Pervy'j Koptel`skij pereulok;;;
Копьёвский переулок;Копьёвский пер.;Kop`yovskij pereulok;;;
Коренная улица;Коренная ул.;Korennaya ulicza;;;
улица Корнейчука;ул. Корнейчука;ulicza Kornejchuka;;;
Коробейников переулок;Коробейников пер.;Korobejnikov pereulok;;;
Коровинский проезд;Коровинский пр.;Korovinskij proezd;;;
Коровинское шоссе;Коровинское ш.;Korovinskoe shosse;;;
улица Академика Королёва;ул. Академика Королёва;ulicza Akademika Korolyova;;;
улица Короленко;ул. Короленко;ulicza Korolenko;;;
улица Павла Корчагина;ул. Павла Корчагина;ulicza Pavla Korchagina;;;
Косинская улица;Косинская ул.;Kosinskaya ulicza;;;
Большая Косинская улица;Б. Косинская ул.;Bol`shaya Kosinskaya ulicza;;;
Косинская эстакада;Косинская эстакада;Kosinskaya e'stakada;;;
Косинское шоссе;Косинское ш.;Kosinskoe shosse;;;
улица Зои и Александра Космодемьянских;ул. Зои и Александра Космодемьянских;ulicza Zoi i Aleksandra Kosmodem`yanskix;;;
улица Космонавтов;ул. Космонавтов;ulicza Kosmonavtov;;;
аллея Космонавтов;аллея Космонавтов;alleya Kosmonavtov;;;
улица Костикова;ул. Костикова;ulicza Kostikova;;;
Костомаровская набережная;Костомаровская наб.;Kostomarovskaya naberezhnaya;;;
Костомаровский переулок;Костомаровский пер.;Kostomarovskij pereulok;;;
Костромская улица;Костромская ул.;Kostromskaya ulicza;;;
улица Костякова;ул. Костякова;ulicza Kostyakova;;;
Костянский переулок;Костянский пер.;Kostyanskij pereulok;;;
улица Косыгина;ул. Косыгина;ulicza Kosy'gina;;;
Котельническая набережная;Котельническая наб.;Kotel`nicheskaya naberezhnaya;;;
1-й Котельнический переулок;1-й Котельнический пер.;Pervy'j Kotel`nicheskij pereulok;;;
2-й Котельнический переулок;2-й Котельнический пер.;Vtoroj Kotel`nicheskij pereulok;;;
3-й Котельнический переулок;3-й Котельнический пер.;Tretij Kotel`nicheskij pereulok;;;
4-й Котельнический переулок;4-й Котельнический пер.;Chetvyorty'j Kotel`nicheskij pereulok;;;
5-й Котельнический переулок;5-й Котельнический пер.;Pyaty'j Kotel`nicheskij pereulok;;;
Котельный проезд;Котельный пр.;Kotel`ny'j proezd;;;
Котляковская улица;Котляковская ул.;Kotlyakovskaya ulicza;;;
1-й Котляковский переулок;1-й Котляковский пер.;Pervy'j Kotlyakovskij pereulok;;;
2-й Котляковский переулок;2-й Котляковский пер.;Vtoroj Kotlyakovskij pereulok;;;
Котляковский проезд;Котляковский пр.;Kotlyakovskij proezd;;;
улица Коцюбинского;ул. Коцюбинского;ulicza Koczyubinskogo;;;
Кочновский проезд;Кочновский пр.;Kochnovskij proezd;;;
улица Кошкина;ул. Кошкина;ulicza Koshkina;;;
проезд Кошкина;пр. Кошкина;proezd Koshkina;;;
улица Коштоянца;ул. Коштоянца;ulicza Koshtoyancza;;;
улица Кравченко;ул. Кравченко;ulicza Kravchenko;;;
улица Крамского;ул. Крамского;ulicza Kramskogo;;;
Крапивенский переулок;Крапивенский пер.;Krapivenskij pereulok;;;
переулок Красина;пер. Красина;pereulok Krasina;;;
улица Красина;ул. Красина;ulicza Krasina;;;
1-й Красковский проезд;1-й Красковский пр.;Pervy'j Kraskovskij proezd;;;
2-й Красковский проезд;2-й Красковский пр.;Vtoroj Kraskovskij proezd;;;
Красковская улица;Красковская ул.;Kraskovskaya ulicza;;;
Красная площадь;Красная пл.;Krasnaya ploshhad`;;;
улица Красная Пресня;ул. Красная Пресня;ulicza Krasnaya Presnya;;;
улица Красная Сосна;ул. Красная Сосна;ulicza Krasnaya Sosna;;;
Красноармейская улица;Красноармейская ул.;Krasnoarmejskaya ulicza;;;
Краснобогатырская улица;Краснобогатырская ул.;Krasnobogaty'rskaya ulicza;;;
Красноворотский проезд;Красноворотский пр.;Krasnovorotskij proezd;;;
3-я Красногвардейская улица;3-я Красногвардейская ул.;Tret`ya Krasnogvardejskaya ulicza;;;
Красногвардейский бульвар;Красногвардейский бульв.;Krasnogvardejskij bul`var;;;
